id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15415839,BEAUTIFUL  APARTMENT NEAR BAIRRO ALTO with AC,5286925,Carole,Lisboa,Misericrdia,38.70776,-9.15235,Entire home/apt,160,3,61,2020-02-22,2.02,1,120
15417090,Quiet love nest in an Alfama patio,3518523,Margot,Lisboa,Santa Maria Maior,38.71503,-9.13245,Entire home/apt,50,2,140,2020-02-13,3.42,5,162
15417322,LUXURY SUITE AT BELLE ÉPOQUE APART|HEART OF LISBON,98677526,Sara,Lisboa,Avenidas Novas,38.73834,-9.1506,Entire home/apt,78,3,104,2019-10-29,2.55,1,356
15418048,Apartment at Mouraria - Lisbon Downtown,95694681,Charmforever,Lisboa,Santa Maria Maior,38.71751,-9.13464,Entire home/apt,75,2,51,2020-01-01,1.25,3,359
15418921,Lovely 2br with balcony & plenty of light. Alfama,98803790,Carolina,Lisboa,So Vicente,38.71386,-9.13051,Entire home/apt,80,3,119,2020-01-02,2.98,3,288
15419152,Alfama with awesome view (+ wifi),75969438,Carla & Raf,Lisboa,Santa Maria Maior,38.71192,-9.12898,Entire home/apt,42,3,127,2019-12-31,3.09,1,246
15419437,Estoril Dreams Beach!!!!!,23234748,Ana And Alfonso,Cascais,Cascais e Estoril,38.70633,-9.39737,Entire home/apt,50,3,53,2019-10-27,1.38,2,226
15420317,Cozy house,39417887,Monica,Oeiras,Carnaxide e Queijas,38.71907,-9.26323,Private room,14,1,48,2020-02-16,1.40,2,329
15420913,Lovely Modern Double Bedroom w/ Private Bathroom,98824022,Nidia,Sintra,Algueiro-Mem Martins,38.78608,-9.34467,Private room,30,2,36,2020-02-16,1.03,1,342
15420948,Sunny balcony @ Av Visconde Valmor AC/heating,71184415,Olga,Lisboa,Avenidas Novas,38.73701,-9.1488,Entire home/apt,90,3,61,2020-02-18,1.50,2,286
15422862,The Vassalo Apartment,51324587,Duarte,Lisboa,So Vicente,38.71912,-9.12949,Entire home/apt,90,2,69,2020-01-02,2.22,2,309
15423700,Lisbon Apartment Soriano in Bairro Alto,32219499,Duarte,Lisboa,Misericrdia,38.71394,-9.14646,Entire home/apt,47,3,163,2020-02-08,4.60,1,46
15427578,Bairro Alto Palace - 9 Bedrooms-Special for Groups,97831247,Pedro,Lisboa,Misericrdia,38.7123,-9.14318,Entire home/apt,1000,2,70,2020-02-10,1.77,1,206
15427707,Sunny room in Anjos,98893017,Tatiana,Lisboa,Arroios,38.72784,-9.13677,Private room,19,2,50,2020-02-18,1.23,1,1
15432861,"Very central apartment, near everything",1990474,Rosa,Lisboa,Avenidas Novas,38.73755,-9.14843,Entire home/apt,60,2,93,2020-02-02,2.28,1,319
15433204,Le Flat · Apartment in the Heart of Old Lisbon,8026998,Inês & Martim,Lisboa,Misericrdia,38.71042,-9.1486,Entire home/apt,130,1,131,2020-02-26,3.19,15,335
15436165,Casa cor de rosa,98977824,Célia,Lisboa,Belm,38.69502,-9.21236,Entire home/apt,40,2,9,2019-05-12,0.22,1,355
15441050,Pateo Santo Estevao 3,10580478,Mariza & Diogo,Lisboa,Santa Maria Maior,38.71134,-9.12846,Entire home/apt,65,3,4,2019-06-25,0.12,6,283
15441491,Beautiful and Comfortable in Liberdade avenue - II,37758551,Sweet Inn,Lisboa,Santo Antnio,38.72023,-9.14489,Entire home/apt,70,2,42,2020-02-15,1.14,74,245
15443382,"""O Anexo"" Excellent Garden and Close to the Beach",99046940,Tiago,Lourinh,Miragaia e Marteleira,39.23803,-9.26544,Entire home/apt,19,1,228,2020-02-17,5.92,1,214
15450919,Spectacular Room! Príncipe Real!,1593947,Nuno,Lisboa,Santo Antnio,38.71706,-9.14667,Private room,31,2,15,2019-11-08,0.37,13,364
15456700,"Luxury villa ""Pinhal dos Frades"" Ericeira 103",3327663,Rui,Mafra,Ericeira,38.97044,-9.37916,Entire home/apt,140,6,0,,,23,177
15457086,Design Studio in Santos-I,37758551,Sweet Inn,Lisboa,Misericrdia,38.71155,-9.15232,Entire home/apt,60,2,14,2019-12-27,0.44,74,299
15457148,Design Studio in Santos - II,37758551,Sweet Inn,Lisboa,Misericrdia,38.71154,-9.15225,Entire home/apt,60,2,14,2020-02-08,0.42,74,303
15457271,Cozy Studio in Santos - IV,37758551,Sweet Inn,Lisboa,Misericrdia,38.71155,-9.15232,Entire home/apt,60,2,13,2020-02-14,0.42,74,300
15457314,Designer 1BR in Sao Bento - V,37758551,Sweet Inn,Lisboa,Misericrdia,38.71154,-9.15225,Entire home/apt,60,2,20,2020-02-15,0.63,74,169
15457393,Cozy 1 Bedroom in Sao Bento - VI,37758551,Sweet Inn,Lisboa,Misericrdia,38.71154,-9.15225,Entire home/apt,60,2,18,2020-02-10,0.52,74,183
15457550,TOP FLOOR APARTMENT with amazing location Lisbon,45429583,Habitat,Lisboa,Misericrdia,38.70875,-9.1479,Entire home/apt,101,1,0,,,70,330
15459094,Graça Classic 13 by Lisbonne Collection,34827624,Lisbonne,Lisboa,So Vicente,38.72059,-9.1229,Entire home/apt,60,1,43,2019-11-08,1.23,44,359
15459597,Little room**King size bed**very central**ARROIOS,88478013,Érica,Lisboa,Penha de Frana,38.73074,-9.12965,Private room,30,1,18,2017-10-23,0.47,1,178
15460919,"Great location, 6 people, 80mts2, near City center",99197003,Evandro Antonio,Lisboa,Arroios,38.72359,-9.13246,Entire home/apt,63,3,76,2019-07-07,2.12,1,57
15461172,Praia Grande the best Surf 30 km far from Lisbon,44769748,Maria Teresa,Sintra,Colares,38.8127,-9.47599,Entire home/apt,680,3,5,2019-07-07,0.15,1,299
15461770,Villa 80 - Quinta da Marinha,76290595,"Sara, João, Francisco",Cascais,Cascais e Estoril,38.70661,-9.46049,Entire home/apt,250,2,3,2017-08-27,0.10,4,270
15462275,Lusitana - Bairro Alto,82255207,Jorge,Lisboa,Misericrdia,38.71418,-9.14373,Entire home/apt,500,2,3,2017-09-12,0.09,8,259
15462600,BaiRRo Alto @ Praça Camões,71708521,Ruben,Lisboa,Misericrdia,38.711,-9.14422,Entire home/apt,85,2,86,2019-12-02,2.16,5,318
15462929,NEW!! Central Studio with Lift/airCon/security,45429583,Habitat,Lisboa,Misericrdia,38.70795,-9.14756,Entire home/apt,49,1,14,2020-02-21,0.34,70,298
15463071,Amazing Principe Real river and city view rooftop,71708521,Ruben,Lisboa,Misericrdia,38.71315,-9.14677,Entire home/apt,85,2,97,2020-02-04,2.37,5,276
15463084,Redone Mail Palace | Downtown T3 River View by LFS,45429583,Habitat,Lisboa,Misericrdia,38.70769,-9.14671,Entire home/apt,176,1,4,2020-01-03,0.10,70,296
15463247,NEW!! Modern downtown apt in historical area/AC,45429583,Habitat,Lisboa,Misericrdia,38.70766,-9.14705,Entire home/apt,60,1,0,,,70,270
15464438,NEW central Apt in Premium location T2 LIFT by LFS,45429583,Habitat,Lisboa,Misericrdia,38.71114,-9.14972,Entire home/apt,120,1,11,2017-05-09,0.27,70,321
15469364,Comfortable room in heart of Lisbon,7762151,Chris,Lisboa,Misericrdia,38.71326,-9.14338,Private room,40,3,6,2019-09-10,0.23,2,73
15474719,Huge sea view penthouse. Private pool only for you,44065420,Vladimir,Mafra,Ericeira,38.95699,-9.40919,Entire home/apt,40,2,51,2020-02-24,1.46,2,134
15475162,Villa: Ericeira Chill Hill Hostel & Private Rooms,50129635,José,Mafra,Ericeira,38.96922,-9.41356,Entire home/apt,350,1,0,,,12,243
15475536,Unique Apartment in a Prime Location in Lisbon,99334708,Manuel,Lisboa,Santa Maria Maior,38.71348,-9.13652,Entire home/apt,75,3,138,2020-02-09,3.39,1,279
15476415,TheLisbonApartment - cozy apart. next to LxFactory,23135168,Ana,Lisboa,Alcntara,38.70258,-9.17833,Entire home/apt,80,3,0,,,1,0
15478024,Alfama Experience Apartment,24485176,Goodtimehome,Lisboa,Santa Maria Maior,38.71305,-9.12848,Entire home/apt,40,1,27,2019-03-20,0.66,36,197
15479381,Sun House Belem in historical center,94147865,Maria,Lisboa,Belm,38.69432,-9.21465,Entire home/apt,70,2,22,2020-01-26,0.59,1,362
