id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
29797968,"Votre balcon sur le Tejo, Cais do Sodré et Timeout",4450024,Helena,Lisboa,Misericrdia,38.70895,-9.14649,Entire home/apt,84,4,11,2019-03-18,2.77,8,270
29798167,Charming Central Duplex Apartment,5510024,Jean Luc,Lisboa,Misericrdia,38.7097,-9.15158,Entire home/apt,60,2,11,2019-03-08,3.14,2,342
29798944,NEW - Alfama Dream Apartment 4,223973389,David E Sofia,Lisboa,So Vicente,38.7141,-9.1294,Entire home/apt,95,2,1,2019-01-15,0.44,6,282
29799059,NEW - Alfama Dream Apartment 6,223973389,David E Sofia,Lisboa,So Vicente,38.71337,-9.13001,Entire home/apt,85,2,1,2019-01-04,0.38,6,293
29799816,Lisbon by the river - Cable car room,191905829,Miguel,Lisboa,Estrela,38.70534,-9.16294,Private room,40,2,0,,,4,362
29800205,Lisbon by the river - Tiles room,191905829,Miguel,Lisboa,Estrela,38.70727,-9.16232,Private room,40,2,0,,,4,364
29800527,Lisbon by the river - Lisbon room,191905829,Miguel,Lisboa,Estrela,38.70532,-9.16225,Private room,25,2,0,,,4,364
29800579,"Sunny flat with a balcony, near the Tram 28 stop",76895059,Jose Luis,Lisboa,Estrela,38.7148,-9.17009,Entire home/apt,52,2,0,,,1,74
29801352,Perfect flat with private pateo & entrance,125892685,Pedro,Lisboa,Ajuda,38.70519,-9.20027,Entire home/apt,85,2,9,2019-02-02,2.09,4,346
29813613,Apartamento Near the Sea - Holidays,187495489,Patrícia,Mafra,Ericeira,38.97836,-9.41148,Entire home/apt,120,3,0,,,3,281
29814918,Premium Studio Apartment,2563358,Residentas Apóstolos,Lisboa,Misericrdia,38.70837,-9.14442,Entire home/apt,100,1,4,2019-03-01,2.86,4,243
29814924,Premium One-Bedroom Apartment,2563358,Residentas Apóstolos,Lisboa,Misericrdia,38.70722,-9.14497,Private room,100,1,0,,,4,307
29814928,Premium Two-Bedroom Apartment,2563358,Residentas Apóstolos,Lisboa,Misericrdia,38.70786,-9.14462,Entire home/apt,100,1,0,,,4,274
29814957,Pantheon Alfama Vintage,43122479,Strong Shake,Lisboa,So Vicente,38.71472,-9.12619,Entire home/apt,49,2,0,,,4,236
29817071,Pangea - Bridging people,224294178,Carlos,Lisboa,Parque das Naes,38.78192,-9.09814,Entire home/apt,86,2,0,,,1,198
29817190,ACOMODAÇÃO SCAVO,219633434,Lucianno,Lisboa,Arroios,38.72497,-9.13257,Private room,15,1,3,2019-02-15,0.67,4,296
29819682,Lovely 2-Bedroom Apartment with Fireplace,126289256,António & Maria,Lisboa,Santo Antnio,38.72145,-9.14408,Entire home/apt,150,1,2,2019-01-02,0.63,3,141
29821291,Charming apartment inside the castle walls,10774139,Maria,Lisboa,Santa Maria Maior,38.71278,-9.1321,Entire home/apt,65,2,4,2019-03-02,1.00,4,256
29826105,Charming Apartment Regedor near the Castle,2333633,Maria,Lisboa,Santa Maria Maior,38.71204,-9.13498,Entire home/apt,70,3,4,2019-02-15,1.40,3,257
29826507,"Friendly Room in Central Lisbon
(Near Metro)",76383384,Luisa,Lisboa,Lumiar,38.76322,-9.16543,Private room,35,2,3,2019-02-07,0.80,1,89
